Original_Order,author,title,journal,year,StudyID,collector,collected,CorMat_or_PC,F2,BC,Controlled_or_wild,N_gens_in_lab_for_P_gen,N_gens_note,data_source,data_notes,KTDONE,MUCDONE,Cormat_Done,Genetic_or_Phenotypic,CorMat_Notes
1,"McBride, CS; Singer, MC",Field Studies Reveal Strong Postmating Isolation between Ecologically Divergent Butterfly Populations,PLOS BIOLOGY,2010,McBride_2010,KT,yes,no,no,no,cross,0,,"Fig3A, Fig4A, Fig4C","Used PP and CC, not P and C. N is family number",1,0,,,
2,"MCPHAIL, JD","ECOLOGY AND EVOLUTION OF SYMPATRIC STICKLEBACKS (GASTEROSTEUS) - EVIDENCE FOR A SPECIES-PAIR IN PAXTON LAKE, TEXADA-ISLAND, BRITISH-COLUMBIA",CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,1992,MCPHAIL_1992,MUC,yes,no,yes,no,cross,0,wildcaught P,Tables 5 & 6,Assumed F1 hybrid cross direction was female first,0,1,,,
3,"Ahn, DG; Gibson, G",Axial variation in the threespine stickleback: genetic and environmental factors,EVOLUTION & DEVELOPMENT,1999,Ahn_1999,MUC,yes,yes,no,no,cross,2,parents inbred,Table 3,"sample size in Fig2 Caption, parents are 'F2'. PC data in Fig 2 unextractable with any accuracy; factor loadings given",0,1,NA,,
4,"Plath, M; Strecker, U",Behavioral diversification in a young species flock of pupfish (Cyprionodon spp.): shoaling and aggressive behavior,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2008,Plath_2008,MUC,yes,no,no,no,cross,3,2 or 3 gen,"Fig 3,4, Table 2","n for aggressive behaviours represents number of groups not indiviuals because trait is 'emergent', n_reps in text",0,1,,,
5,"ARNOLD, SJ","BEHAVIORAL VARIATION IN NATURAL-POPULATIONS .2. THE INHERITANCE OF A FEEDING RESPONSE IN CROSSES BETWEEN GEOGRAPHIC RACES OF THE GARTER SNAKE, THAMNOPHIS-ELEGANS",EVOLUTION,1981,ARNOLD_1981,MUC,yes,no,no,no,cross,1,both wild and laboratory parents used in crosses,Fig 1,"HISTOGRAM no variance measures, figure was frequency data of a feeding score - I took the frequency of the score values, multiplied them by the correct score, added and then divided by the sample size to get mean feeding score values and calculated SD according to KT's instructions. For data cross directions are combined",0,1,,,
6,"AbGhani, NI; Herczeg, G; Merila, J",Body size divergence in nine-spined sticklebacks: disentangling additive genetic and maternal effects,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2012,AbGhani_2012,MUC,yes,no,no,no,cross,0,,sl data in fig 2,crosses done in the wild,0,1,,,
7,"Raeymaekers, JAM; Boisjoly, M; Delaire, L; Berner, D; Rasanen, K; Hendry, AP","Testing for mating isolation between ecotypes: laboratory experiments with lake, stream and hybrid stickleback",JOURNAL OF EVOLUTIONARY BIOLOGY,2010,Raeymaekers_2010,KT,yes,no,no,no,cross,2,F2 lab fish; f1s crossed to generate experimental fish,Table 1,,1,0,,,
8,"Vamosi, SM; Schluter, D",Impacts of trout predation on fitness of sympatric sticklebacks and their hybrids,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2002,Vamosi_2002,KT,yes,no,no,no,cross,0,,Table 2,,1,0,,,
9,"Lemmon, EM; Lemmon, AR",REINFORCEMENT IN CHORUS FROGS: LIFETIME FITNESS ESTIMATES INCLUDING INTRINSIC NATURAL SELECTION AND SEXUAL SELECTION AGAINST HYBRIDS,EVOLUTION,2010,Lemmon_2010,KT,yes,no,no,no,wild,0,,"Table 3, sample size from counting circles in fig 5",,1,0,,,
10,"Rogers, SM; Gagnon, V; Bernatchez, L",Genetically based phenotype-environment association for swimming behavior in lake whitefish ecotypes (Coregonus clupeaformis Mitchill),EVOLUTION,2002,Rogers_2002,KT,yes,no,no,no,cross,0,,Table 1,SD calculated manually,1,0,,,
11,"Svedin, N; Wiley, C; Veen, T; Gustafsson, L; Qvarnstrom, A",Natural and sexual selection against hybrid flycatchers,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2008,Svedin_2008,KT,yes,no,no,no,wild,NA,,"PCs extracted manually from Fig1, rest Table 1",,1,0,,,
12,"Grosch, K",Hybridization between two insectivorous bird species and the effect on prey-handling efficiency,EVOLUTIONARY ECOLOGY,2003,Grosch_2003,KT,yes,no,no,no,cross,0,"Wild birds collected as nestlings and hybrids bred in aviaries, but all birds raised in common environment from 9 days onward",Table 7 (morphology).,"Behavioural data not in paper but they say verbally everybody was the same. Correlation matrix was for F1 and not same across groups. All hybrids in same direction (Black M, Common F).",1,0,,,
13,"Henry, CS; Wells, MLM; Holsinger, KE","The inheritance of mating songs in two cryptic, sibling lacewing species (Neuroptera : Chrysopidae : Chrysoperla)",GENETICA,2002,Henry_2002,KT,yes,yes,yes,yes,cross,0,gravid in field or lab,Table 1,Could get correlations from PC if needed,1,0,NA,,
14,"Koelling, VA; Mauricio, R",GENETIC FACTORS ASSOCIATED WITH MATING SYSTEM CAUSE A PARTIAL REPRODUCTIVE BARRIER BETWEEN TWO PARAPATRIC SPECIES OF LEAVENWORTHIA ( BRASSICACEAE),AMERICAN JOURNAL OF BOTANY,2010,Koelling_2010,KT,yes,yes,yes,yes,cross,0,,Koelling Thesis Table 3.1 (http://purl.galileo.usg.edu/uga_etd/koelling_vanessa_a_200808_phd),PCs in oringial paper. BCs pooled for both diections so not used. SE data a bit suspicous for parental pops.,1,0,NA,,
15,"Galindo, J; Rivas, MJ; Saura, M; Rolan-Alvarez, E",Selection on hybrids of ecologically divergent ecotypes of a marine snail: the relative importance of exogenous and endogenous barriers,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2014,Galindo_2014,KT,yes,no,no,yes,cross,0,,Table 1,Only 'lab' used,1,0,,,
17,"Lowry, DB; Willis, JH","A Widespread Chromosomal Inversion Polymorphism Contributes to a Major Life-History Transition, Local Adaptation, and Reproductive Isolation",PLOS BIOLOGY,2010,Lowry_2010,KT,yes,no,yes,no,cross,7,Correspondance with D. Lowry indicates that parental lines were < 7 generations selfed,Table S3; data pooled across populations within ecotype,,1,0,,,
18,"Xue, HJ; Magalhaes, S; Li, WZ; Yang, XK",Reproductive barriers between two sympatric beetle species specialized on different host plants,JOURNAL OF EVOLUTIONARY BIOLOGY,2009,Xue_2009,KT,yes,no,no,yes,cross,0,,Table 1,CIs given,1,0,,,
19,"Barson, NJ; Knight, ME; Turner, GF",The genetic architecture of male colour differences between a sympatric Lake Malawi cichlid species pair,JOURNAL OF EVOLUTIONARY BIOLOGY,2007,Barson_2007,KT,yes,yes,yes,yes,cross,0,,table 2,can get correlation from fig 2; sample sizes in text,1,0,No,,
20,"O'Quin, CT; Drilea, AC; Roberts, RB; Kocher, TD",A Small Number of Genes Underlie Male Pigmentation Traits in Lake Malawi Cichlid Fishes,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2012,O'Quin_2012,KT,yes,yes,yes,no,cross,1,"Author correspondance, all fish 1st gen or wild-caught","table 1, fig 3",Cormat in table 2;,1,0,Yes,Only 0 < P < 0.05 given; also bonferonni reported but I am just calculating 'raw' p,
21,"Mione, T; Anderson, GJ",Genetics of floral traits of Jaltomata procumbens (Solanaceae),BRITTONIA,2017,Mione_2017,KT,yes,yes,yes,no,cross,0,,traits: table2. cormat: table 3,,1,0,Yes,P levels are given ,
22,"Vedenina, VY; Panyutin, AK; Von Helversen, O",The unusual inheritance pattern of the courtship songs in closely related grasshopper species of the Chorthippus albomarginatus-group (Orthoptera : Gomphocerinae),JOURNAL OF EVOLUTIONARY BIOLOGY,2007,Vedenina_2007,KT,yes,no,yes,yes,cross,0,,"Table 1, Table 3, Fig 7",Whether individuals did particular behaviour (trait 9) is discrete but plausibly variable across trials.,1,0,NA,,
23,"Oh, KP; Fergus, DJ; Grace, JL; Shaw, KL",Interspecific genetics of speciation phenotypes: song and preference coevolution in Hawaiian crickets,JOURNAL OF EVOLUTIONARY BIOLOGY,2012,Oh_2012,KT,yes,no,yes,no,cross,0,,Table 1,Collected seperately for different cross dir,1,0,,,
24,"Saldamando, CI; Miyaguchi, S; Tatsuta, H; Kishino, H; Bridle, JR; Butlin, RK","Inheritance of song and stridulatory peg number divergence between Chorthippus brunneus and C-jacobsi, two naturally hybridizing grasshopper species (Orthoptera : Acrididae)",JOURNAL OF EVOLUTIONARY BIOLOGY,2005,Saldamando_2005,KT,yes,yes,no,yes,cross,0,,Table 2,can get cormat from table 4,1,0,Yes,The one significant is not after bonferonni,
25,"Blankers, T; Lubke, AK; Hennig, RM",Phenotypic variation and covariation indicate high evolvability of acoustic communication in crickets,JOURNAL OF EVOLUTIONARY BIOLOGY,2015,Blankers_2015,KT,yes,yes,yes,no,cross,1,offspring of wild-collected females used,Table 1 & 2,Cormat in Fig3 & 4,1,0,Yes,Used F2 cormat,
26,"Haesler, MP; Seehausen, O",Inheritance of female mating preference in a sympatric sibling species pair of Lake Victoria cichlids: implications for speciation,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2005,Haesler_2005,KT,yes,no,yes,no,cross,10,"Fish in labs since 1992 (from Seehausen & Van Alphen reference); experiments conducted in 2000,2001/2; 10 or fewer generations; I put 10 to be conservative.",Table 1,Used 2000 and 2001-2002 pooled,1,0,,,
27,"Shaw, KL",Polygenic inheritance of a behavioral phenotype: Interspecific genetics of song in the Hawaiian cricket genus Laupala,EVOLUTION,1996,Shaw_1996,KT,yes,no,yes,yes,cross,0,wild-caught,Table 4,,1,0,,,
28,"LAMB, T; AVISE, JC",MORPHOLOGICAL VARIABILITY IN GENETICALLY DEFINED CATEGORIES OF ANURAN HYBRIDS,EVOLUTION,1987,LAMB_1987,KT,yes,no,no,yes,wild,NA,,Table 2; Fig 2,Assume n counted from Fig 2 is same as n for data in Table 2. Backcross gen unknown so not used. Histogram data,1,0,,,
29,"Bratteler, M; Lexer, C; Widmer, A",Genetic architecture of traits associated with serpentine adaptation of Silene vulgaris,JOURNAL OF EVOLUTIONARY BIOLOGY,2006,Bratteler_2006a,KT,yes,no,yes,no,cross,1,wild-collected seeds used as parents,Table 1; Ni tolerance is fitness character. Num_flowers and height ambig fit,,1,0,,,
30,"Bouck, A; Wessler, SR; Arnold, ML",Qtl analysis of floral traits in Louisiana Iris hybrids,EVOLUTION,2007,Bouck_2007,KT,yes,yes,no,yes,cross,0,,"table 1, fig 2",pooled data from F1(2) and F1(3) to get F1 data. can get BC data from Fig2 if need be. can't use nectar guide area because trait not present in fulva; did not collect NGA from BCs but could do so,1,0,Yes,Spearman's; used IbBC1 to be conservative,
31,"Merrill, RM; Naisbit, RE; Mallet, J; Jiggins, CD",Ecological and genetic factors influencing the transition between host-use strategies in sympatric Heliconius butterflies,JOURNAL OF EVOLUTIONARY BIOLOGY,2013,Merrill_2013,KT,yes,no,no,yes,cross,10,stocks maintained for 2y in lab; almost certainly < 10 gens but putting ten to be conservative,Table 2,Summed generalist and specialist for 'n',1,0,,,
32,"Ippolito, A; Fernandes, GW; Holtsford, TP","Pollinator preferences for Nicotiana alata, N-forgetiana, and their F-1 hybrids",EVOLUTION,2004,Ippolito_2004,KT,yes,no,no,no,cross,0,"authors describe the source populations as being collected in the field, no indication to think otherwise.",Table 1,colour is discrete,1,0,,,
33,"Finck, J; Ronacher, B",Components of reproductive isolation between the closely related grasshopper species Chorthippus biguttulus and C. mollis,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2017,Finck_2017,KT,yes,no,no,yes,cross,0,,Table 2,,1,0,,,
34,"Albertson, RC; Streelman, JT; Kocher, TD",Genetic basis of adaptive shape differences in the cichlid head,JOURNAL OF HEREDITY,2003,Albertson_2003,KT,yes,yes,yes,no,cross,0,,Table 1,,1,0,Yes,,
35,"Konuma, J; Sota, T; Chiba, S",Quantitative genetic analysis of subspecific differences in body shape in the snail-feeding carabid beetle Damaster blaptoides,HEREDITY,2013,Konuma_2013,MUC,yes,yes,no,yes,cross,1,wild individuals were used as parental stock to create lab popualtions,fig 1 and fig 2,"Body measurements used in principal components analysis. HW, head width; HL, head length; TW, thorax width; TL, thorax length; EW, elytron width; EL, elytron length; populations first in lab 2006; ",0,1,Yes,They did Bc1 and Bc2 cormats; I just took the highest of the two values so it's really saying what's the highest possible correlation. p value ranges given.,
36,"Caillaud, MC; Via, S","Quantitative genetics of feeding behavior in two ecological races of the pea aphid, Acyrthosiphon pisum",HEREDITY,2012,Caillaud_2012,MUC,yes,no,yes,no,cross,0,Clonal lines; maintained in the lab for a while but no selection other than mutations.,Fig.1,"No sample size info other than total observations n = 792;  we assumd the MINIMUM possible sample size per group (9 for Parents, 3 for each f1, 2 for each F2). original field collection in 1989; populations in lab since 1989 but parthenogenetic. also, authors confirm that clone representive of field. data in fig 1",0,1,,,
37,"Bertel, C; Hulber, K; Frajman, B; Schonswetter, P","No evidence of intrinsic reproductive isolation between two reciprocally non-monophyletic, ecologically differentiated mountain plants at an early stage of speciation",EVOLUTIONARY ECOLOGY,2016,Bertel_2016,MUC,yes,yes,no,no,cross,0,parents were grown from seed in lab,Fig. 2,"Non-metric multidimensional scaling (NMDS) of 16 morphometric characters measured on 65individuals. Unable to tell the difference between reciprocal hybrid crosses in figure. Will ask KT if I can combine hybrids or if he should email authors for raw data. For now, I have assigned dark grey to P-V and light grey to V-P (best guess based on figure)",0,1,NA,,
38,"Ferris, KG; Barnett, LL; Blackman, BK; Willis, JH",The genetic architecture of local adaptation and reproductive isolation in sympatry within the Mimulus guttatus species complex,MOLECULAR ECOLOGY,2017,Ferris_2017,MUC,yes,yes,yes,no,cross,4,4 generations inbreeding,"Fig 2, 3",,0,1,No,P,F2
39,"Schluter, D; Clifford, EA; Nemethy, M; McKinnon, JS",Parallel evolution and inheritance of quantitative traits,AMERICAN NATURALIST,2004,Schluter_2004,MUC,yes,no,yes,no,cross,2,All fish used in our analyses were lab‐reared first and second‐generation progeny of these wild‐caught threespine sticklebacks,"Fig. 1, 5",Unclear what the n was for sample size,0,1,,,
40,"Magalhaes, IS; Seehausen, O",Genetics of male nuptial colour divergence between sympatric sister species of a Lake Victoria cichlid fish,JOURNAL OF EVOLUTIONARY BIOLOGY,2010,Magalhaes_2010,MUC,yes,no,yes,yes,cross,7,population collected 91/92; f1s in 1999. 7 gens in lab.,fig2,HISTOGRAM bar graph IS STACKED!,0,1,,,
41,"Sasabe, M; Takami, Y; Sota, T",The genetic basis of interspecific differences in genital morphology of closely related carabid beetles,HEREDITY,2007,Sasabe_2007,MUC,yes,no,no,yes,cross,0,wild parents,Fig 2,crosses occured in all directions,0,1,,,
42,"Bendall, EE; Vertacnik, KL; Linnen, CR",Oviposition traits generate extrinsic postzygotic isolation between two pine sawfly species,BMC EVOLUTIONARY BIOLOGY,2017,Bendall_2017,KT,yes,no,no,yes,cross,1,,interspecific_cross' data and 'cross' data on dryad (interspecific cross data had F1s broken down by cross direction),https://datadryad.org/resource/doi:10.5061/dryad.4g26c,1,0,,,
43,"Bowles, E; Johnston, RA; Vanderzwan, SL; Rogers, SM",Genetic basis for body size variation between an anadromous and two derived lacustrine populations of threespine stickleback Gasterosteus aculeatus in southwest Alaska,CURRENT ZOOLOGY,2016,Bowles_2016,MUC,yes,no,no,no,cross,0,Parents were wild,Figure 3,Male and female on figure,0,1,,,
44,"Chen, GF",Sexual isolation in two bee-pollinated Costus (Costaceae),PLANT REPRODUCTION,2013,Chen_2013a,MUC,yes,no,no,no,cross,0,Parents were wild,data are in thesis: https://d.lib.msu.edu/islandora/object/etd:1891. Fig 3.3; also fitness,CI represents 95% CI's,0,1,,,
45,"Egan, SP; Janson, EM; Brown, CG; Funk, DJ",Postmating isolation and genetically variable host use in ecologically divergent host forms of Neochlamisus bebbianae leaf beetles,JOURNAL OF EVOLUTIONARY BIOLOGY,2011,Egan_2011,MUC,yes,no,no,no,cross,0,Parents were lab reared,"Fig 2b, 2006","CI represents 95% CI's, sample size is an estimate bc I could not find specific values in paper (In 2006 ""These families yielded 643 offspring for testing). Larval weight was a measure of 'intrinsic isolation', so not using.",0,1,,,
46,"Campbell, DR; Wu, CA; Travers, SE",PHOTOSYNTHETIC AND GROWTH RESPONSES OF RECIPROCAL HYBRIDS TO VARIATION IN WATER AND NITROGEN AVAILABILITY,AMERICAN JOURNAL OF BOTANY,2010,Campbell_2010,MUC,yes,no,yes,no,cross,0,Parents were wild and brough into lab,"Fig2, Table1 (only pots 2007 'control), Fig5A-C (only control); ","Sample size is an estimate, methods state ""4 to 8 plants""",0,1,,,
47,"Woods, PJ; Muller, R; Seehausen, O","Intergenomic epistasis causes asynchronous hatch times in whitefish hybrids, but only when parental ecotypes differ",JOURNAL OF EVOLUTIONARY BIOLOGY,2009,Woods_2009,KT,yes,yes,no,no,cross,0,,Fig 3,Ecological' hybrids are Benthic by limnetic LUCERNE. 'Genetic' hybrids are Benthic NEUCHATEL * benthic LUCERNE. 'Combined' hybrids are benthic NEUCHATEL * limnetic LUCERNE. PC in text is mostly the 'intrinsic' fitness factors. can get correlations from figs 4. Error bars are 2SE (author correspondance). ONly using 'lm' because mm is same individuals measured earlier.,1,0,NA,,
48,"Matsubayashi, KW; Katakura, H",CONTRIBUTION OF MULTIPLE ISOLATING BARRIERS TO REPRODUCTIVE ISOLATION BETWEEN A PAIR OF PHYTOPHAGOUS LADYBIRD BEETLES,EVOLUTION,2009,Matsubayashi_2009,KT,yes,no,no,no,cross,0,,"Table 1, Table 4","Mate preference calculated as preference for H_vigin... from Table 1 data. Can't calculate female preference because hybrids weren't tested. Host plant preference calculated from Table 4 data. Only used beetles that chose. Scored SB as 1, CK as 0 and both as 0.5.",1,0,,,
49,"Whiteley, AR; Persaud, KN; Derome, N; Montgomerie, R; Bernatchez, L",Reduced sperm performance in backcross hybrids between species pairs of whitefish (Coregonus clupeaformis),CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,2009,Whiteley_2009,KT,yes,no,no,yes,cross,1,,Table 1,"Sperm velocity treated as a fitness trait, low values are 'bad'.",1,0,,,
50,"Vinsalkova, T; Gvozdik, L",Mismatch between temperature preferences and morphology in F1 hybrid newts (Triturus carnifex x T-dobrogicus),JOURNAL OF THERMAL BIOLOGY,2007,Vinsalkova_2007,KT,yes,no,no,no,cross,0,,Fig1,"Authors state that only FLL and AGD differ between the parents so did not write them to ask for other traits. The morphology was measured on post-metamorph individuals and since metamorphosis did not interact with hybridization, the patterns are the same for pre-and post- metamorphosis temp pref (i.e., they are the 'same trait'), so only extracted oist",1,0,,,
51,"Pfennig, KS; Chunco, AJ; Lackey, ACR",Ecological selection and hybrid fitness: hybrids succeed on parental resources,EVOLUTIONARY ECOLOGY RESEARCH,2007,Pfennig_2007,MUC,yes,no,no,no,cross,0,wild adults were brought to breeding condition in the lab,Figure 1,"means obtained from figure, SD estimated using this website http://vassarstats.net/median_range.html",0,1,,,
52,"Forister, ML",Independent inheritance of preference and performance in hybrids between host races of Mitoura butterflies (Lepidoptera : Lycaenidae),EVOLUTION,2005,Forister_2005,MUC,yes,no,no,no,cross,0,lab reared parents collected from wild,Figure 2,took data of ovoposition on cedar,0,1,,,
53,"Hora, KH; Roessingh, P; Menken, SBJ",Inheritance and plasticity of adult host acceptance in Yponomeuta species: implications for host shifts in specialist herbivores,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,2005,Hora_2005,KT,yes,no,no,no,cross,0,,Table 1 and 2,"use 'cut twigs' because that's the only condition replicated btt comparisons. it's also the most well-replicated (many more individuals of hybrids). It's the least extreme in terms of dominance so might be considered conservative. Cis are assymetrical, so took bigger arm.",1,0,,,
54,"Johnston, JA; Donovan, LA; Arnold, ML",Novel phenotypes among early generation hybrids of two Louisiana iris species: flooding experiments,JOURNAL OF ECOLOGY,2004,Johnston_2004,MUC,yes,no,no,yes,cross,0,"Parents wild, reared in lab","table 2, only 'physiological traits'. ","Experimental design describes 15 blocks, I indicated that was the sample size. Authors describe all traits as 'physiological' but could also be morphology.",0,1,,,
55,"Yukilevich, R; Harvey, T; Nguyen, S; Kehlbeck, J; Park, A","The search for causal traits of speciation: Divergent female mate preferences target male courtship song, not pheromones, in Drosophila athabasca species complex",EVOLUTION,2016,Yukilevich_2016,MUC,yes,no,no,no,cross,0,hybrids collected 2013-2015 (possible lab?),Fig5,"; hybrids collected 2013-2015 (possible lab?), used the raw data plotted to calculate mean and SD",0,1,,,
56,"Stankowski, S; Sobel, JM; Streisfeld, MA",The geography of divergence with gene flow facilitates multitrait adaptation and the evolution of pollinator isolation in Mimulus aurantiacus,EVOLUTION,2015,Stankowski_2015,KT,yes,yes,yes,no,cross,1,,Dryad data (https://datadryad.org/resource/doi:10.5061/dryad.18796) and Fig 3.,,1,0,Yes,"Pearson's r, done in R",
57,"Merot, C; Frerot, B; Leppik, E; Joron, M",Beyond magic traits: Multimodal mating cues in Heliconius butterflies,EVOLUTION,2015,Merot_2015,KT,yes,no,no,yes,cross,0,mated f collected in field and fouded stock pops,"Fig 2, Author Data","For male preference only used Fig 2 and not FigS3, because the results are 'complementary', and authors say they don't differ. Used author datasets to generate means for genital & wing chem signatures. Pooled across backcrosses (this is the way it was in the author data). For colour pattern, only used 'dorsal' (that's what is reported in Fig S8, first 2 pcs). Am not using spectro because data are very complicated, unclear how to generate means. ",1,0,,,
58,"Machado-Schiaffino, G; Henning, F; Meyer, A",SPECIES-SPECIFIC DIFFERENCES IN ADAPTIVE PHENOTYPIC PLASTICITY IN AN ECOLOGICALLY RELEVANT TROPHIC TRAIT: HYPERTROPHIC LIPS IN MIDAS CICHLID FISHES,EVOLUTION,2014,Machado-Schiaffino_2014,KT,yes,no,no,no,cross,10,"Fish collected in 2007 and 2005, long generation times, but conservatively putting 10 gens",Dryad (https://datadryad.org/bitstream/handle/10255/dryad.58688/DRYAD-%20Raw%20data%20paper%20plasticity.txt?sequence=1),Lip size / (10^-3 * Body size),1,0,NA,,
59,"Yoshizawa, M; Ashida, G; Jeffery, WR",PARENTAL GENETIC EFFECTS IN A CAVEFISH ADAPTIVE BEHAVIOR EXPLAIN DISPARITY BETWEEN NUCLEAR AND MITOCHONDRIAL DNA,EVOLUTION,2012,Yoshizawa_2012,MUC,yes,yes,no,no,cross,6,Contacted author and they said it was between 4-6 for the different lines,Fig1,,0,1,No,,
60,"Dalziel, AC; Vines, TH; Schulte, PM",REDUCTIONS IN PROLONGED SWIMMING CAPACITY FOLLOWING FRESHWATER COLONIZATION IN MULTIPLE THREESPINE STICKLEBACK POPULATIONS,EVOLUTION,2012,Dalziel_2012,MUC,yes,yes,no,no,cross,0,0 or 1 generation,"Fig2A,3B,D,4C",Sample size is num families.critical swimming speed is treated more as a trait under divergent selection than a fitness trait here. Was some issues with analyzing data with hybrids reported in direction for one trait but not others; so I merged the data for when both directions were reported.,0,1,NA,,
61,"Leinonen, PH; Remington, DL; Savolainen, O","LOCAL ADAPTATION, PHENOTYPIC DIFFERENTIATION, AND HYBRID FITNESS IN DIVERGED NATURAL POPULATIONS OF ARABIDOPSIS LYRATA",EVOLUTION,2011,Leinonen_2011,MUC,yes,yes,yes,no,cross,1,"seed collected form field, grown in greenhouse to get seed for field experiment",Dryad: https://doi.org/10.5061/dryad.8657,"FlStart1, H1Sh1, PsM12 - Dryad: https://doi.org/10.5061/dryad.8657 . FlStart 1 was selected since FlStart 3 had a lot of missing data. Can generate CorMat from raw data",0,1,No,,
62,"Skrede, I; Brochmann, C; Borgen, L; Rieseberg, LH","Genetics of intrinsic postzygotic isolation in a circumpolar plant species, Draba Nivalis (Brassicaceae)",EVOLUTION,2008,Skrede_2008,KT,yes,no,yes,no,cross,0,,Table 1,"Table 1flowering time is OK, although authors comments that it may be caused by incompatibilities. flower number is a fitness trait in my oppinion. note that this is subjective. Flower number not different between parents, either. I calculated CI and validated that 95% does not contain single observed parental value",1,0,,,
63,"Martin, NH; Willis, JH",Ecological divergence associated with mating system causes nearly complete reproductive isolation between sympatric Mimulus species,EVOLUTION,2007,Martin_2007a,KT,yes,no,no,no,cross,1,,Table 3,pooled across sites within cross,1,0,,,
64,"Albertson, RC; Kocher, TD",Genetic architecture sets limits on transgressive segregation in hybrid cichlid fishes,EVOLUTION,2005,Albertson_2005,KT,yes,yes,yes,no,cross,1,,Author data,,1,0,NA,,
65,"Bailey, JK; Bangert, RK; Schweitzer, JA; Trotter, RT; Shuster, SM; Whitham, TG",Fractal geometry is heritable in trees,EVOLUTION,2004,Bailey_2004,MUC,yes,no,no,yes,wild,NA,"The trees were grown, in random arrangement, unde constant  greenhouse conditions and were three-year-old cuttings from common garden trees that were originally derived from field genotypes",fig1b,,0,1,,,
66,"Fishman, L; Stratton, DA",The genetics of floral divergence and postzygotic barriers between outcrossing and selfing populations of Arenaria uniflora (caryophyllaceae),EVOLUTION,2004,Fishman_2004,MUC,yes,yes,no,no,cross,1,16 maternal plants from each population were used as pollen recipients,"fig2A, table3--use only S1 and X1 parents (not S2 and X2). Note this in dataset. Traits to use in table 3: only petal area and autogamy rate",I cannot find info on the sample size for trait 1,0,1,No,P,F2
67,"Fishman, L; Kelly, AJ; Willis, JH",Minor quantitative trait loci underlie floral traits associated with mating system divergence in Mimulus,EVOLUTION,2002,Fishman_2002,MUC,yes,yes,yes,no,cross,6,"inbred lines use in experimental crosses, parental lines for inbred lines were wild. 'over 5' generations for one; 'several' for the other.","table 1; all traits EXCEPT viable pollen grains, fraction viable pollen, toal pollen, autogamous seed set, suppleented seed set (percent autogamy OK) ",,0,1,No,,
68,"Westerbergh, A; Doebley, J",Morphological traits defining species differences in wild relatives of maize are controlled by multiple quantitative trait loci,EVOLUTION,2002,Westerbergh_2002,KT,yes,no,yes,no,cross,0,seeds wild-collected in mexico,Fig4,"Sample size for parents between 20/30, i just put 20. Most traits could be fitness but not sure.",1,0,,,
69,"Craig, TP; Horner, JD; Itami, JK","Genetics, experience, and host-plant preference in Eurosta solidaginis: Implications for host shifts and speciation",EVOLUTION,2001,Craig_2001a,MUC,yes,no,no,yes,cross,0,,Figs1-3,,0,1,,,
