Original_Order,author,title,journal,year,StudyID,collector,collected,CorMat_or_PC,F2,BC,Controlled_or_wild,N_gens_in_lab_for_P_gen,N_gens_note,data_source,data_notes,KTDONE,MUCDONE,Cormat_Done,Genetic_or_Phenotypic,CorMat_Notes
70,"Galloway, LF; Fenster, CB",Nuclear and cytoplasmic contributions to intraspecific divergence in an annual legume,EVOLUTION,2001,Galloway_2001,KT,yes,no,yes,yes,cross,1,,Fig 1,"Data are means of residuals after removing environmental effects (and biomass it seems, correlations all < 0.18). Authors refer to traits as 'phenological and morphological' (see fig caption) and so I interpret that as being under divergent selection and not directional.",1,0,,,
71,"Holtmeier, CL","Heterochrony, maternal effects, and phenotypic variation among sympatric pupfishes",EVOLUTION,2001,Holtmeier_2001,KT,yes,yes,no,no,cross,0,,"Fig 3, Fig 4","Took means from regression lines at the end for Fig 3, contrats from Table 4 for shape of jaw. SD for Fig 3 calculated as height from base of symbol to top, as all SDs were smaller than that range. Used final time point, N from text.",1,0,NA,,
72,"Craig, JK; Foote, CJ",Countergradient variation and secondary sexual color: Phenotypic convergence promotes genetic divergence in carotenoid use between sympatric anadromous and nonanadromous morphs of sockeye salmon (Oncorhynchus nerka),EVOLUTION,2001,Craig_2001b,KT,yes,yes,no,no,cross,0,,Figs 2 and 3,Can get correlations from fig 5. Took both mature and immature data because immature was flesh and mature was skin.,1,0,No,,
73,"Burton, TL; Husband, BC","Fitness differences among diploids, tetraploids, and their triploid progeny in Chamerion angustifolium: Mechanisms of inviability and implications for polyploid evolution",EVOLUTION,2000,Burton_2000,KT,yes,no,,,cross,0,field collected seeds were parents,"Fig 1d, 2b","All traits 'fitness-related', but only two could possibly be under stabilizing seln (phenology & biomass). sample size is n of families",1,0,,,
74,"Hatfield, T; Schluter, D",Ecological speciation in sticklebacks: Environment-dependent hybrid fitness,EVOLUTION,1999,Hatfield_1999,KT,yes,no,no,no,cross,0,,Table 1,,1,0,,,
75,"Parsons, KE",Contrasting patterns of heritable geographic variation in shell morphology and growth potential in the marine gastropod Bembicium vittatum: Evidence from field experiments,EVOLUTION,1997,Parsons_1997,KT,yes,yes,no,no,wild,NA,The authors facilitated crosses and animals bred naturally. They confirmed electrophoretically that offspring were F1,Appendix,Can get trait correlations from r2 in Appendix. Shell pattern is discrete,1,0,No,,
76,"Wood, CC; Foote, CJ",Evidence for sympatric genetic divergence of anadromous and nonanadromous morphs of sockeye salmon (Oncorhynchus nerka),EVOLUTION,1996,Wood_1996,KT,yes,no,no,no,cross,0,,Table 5,Sample size from table 6 (pooled across sexes; only 'low density'),1,0,,,
77,"BYRNE, M; ANDERSON, MJ","HYBRIDIZATION OF SYMPATRIC PATIRIELLA SPECIES (ECHINODERMATA, ASTEROIDEA) IN NEW-SOUTH-WALES",EVOLUTION,1994,BYRNE_1994,KT,yes,no,yes,yes,cross,0,,Fig. 6,,1,0,,,
78,"Grant, PR; GRANT, BR",PHENOTYPIC AND GENETIC-EFFECTS OF HYBRIDIZATION IN DARWINS FINCHES,EVOLUTION,1994,Grant_1994,KT,yes,yes,no,yes,wild,NA,,Fig 1,Pool the Ff and fF hybrids because couldn't tell the cross direction. Study with alternative data (https://datadryad.org/resource/doi:10.5061/dryad.vc348) does not distinguish F1s from BCs.,1,0,NA,,
79,"SCRIBNER, KT",HYBRID ZONE DYNAMICS ARE INFLUENCED BY GENOTYPE-SPECIFIC VARIATION IN LIFE-HISTORY TRAITS - EXPERIMENTAL-EVIDENCE FROM HYBRIDIZING GAMBUSIA SPECIES,EVOLUTION,1993,SCRIBNER_1993,KT,yes,no,no,no,cross,0,"Used offspring from field-collected females, but the offspring were gestating during coll'n","Table 1, Table 2",Fertility is truly fitness so not taking data from Table 6,1,0,,,
80,"GRULA, JW; TAYLOR, OR","THE EFFECT OF X-CHROMOSOME INHERITANCE ON MATE-SELECTION BEHAVIOR IN THE SULFUR BUTTERFLIES, COLIAS-EURYTHEME AND COLIAS-PHILODICE",EVOLUTION,1980,GRULA_1980,KT,yes,no,yes,yes,cross,10,"Unclear exactly, they say it's a laboratory 'breeding stock' but collected from the area. No indication to suggest they have been in the lab a long time. Putting 10 to be conservative.",Table 2,Used table 2 instead of table 1 because it's more easlistic. N is total number of matings (B in table is numer of 'Broods'). ,1,0,,,
81,"WILKENS, H","GENETIC INTERPRETATION OF REGRESSIVE EVOLUTIONARY PROCESSES - STUDIES ON HYBRID EYES OF 2 ASTYANAX CAVE POPULATIONS (CHARACIDAE, PISCES)",EVOLUTION,1971,WILKENS_1971,KT,yes,yes,yes,yes,cross,10,Unclear exactly but no indication to suggest they've been in the lab for a while. 10 is conservative. Other works seems to indicate that they use fish within first or second lab gen.,,Can get correlation from data extracted from Fig1 and Fig 6 (histogram). ,1,0,No,,
82,"LEWIS, H; EPLING, C","DELPHINIUM-GYPSOPHILUM, A DIPLOID SPECIES OF HYBRID ORIGIN",EVOLUTION,1959,LEWIS_1959,KT,yes,yes,no,no,cross,0,,Fig. 3,,1,0,No,,
83,"Noh, S; Henry, CS",Speciation is not necessarily easier in species with sexually monomorphic mating signals,JOURNAL OF EVOLUTIONARY BIOLOGY,2015,Noh_2015,KT,yes,yes,,,cross,0,wild individuals induced to produce offspring in lab,Fig 2; Fig 6 (y-axis),"For Fig 6, estimates should be considered approximate.",1,0,NA,,
84,"Selz, OM; Thommen, R; Maan, ME; Seehausen, O",Behavioural isolation may facilitate homoploid hybrid speciation in cichlid fish,JOURNAL OF EVOLUTIONARY BIOLOGY,2014,Selz_2014a,KT,yes,yes,no,no,cross,7,From author; between 4-7 gens,"Fig2, Fig3","Spawning numer is females of all three types, proportion spawning with parent 2 (on right side of Fig2) divided by number of spawning events with a parent (not a hybrid). CALxTAE not used because it's in next study, seems like same fish.",1,0,,,
85,"Selz, OM; Lucek, K; Young, KA; Seehausen, O",Relaxed trait covariance in interspecific cichlid hybrids predicts morphological diversity in adaptive radiations,JOURNAL OF EVOLUTIONARY BIOLOGY,2014,Selz_2014b,KT,yes,yes,yes,yes,cross,7,From author; between 4-7 gens,"Author data, just extracted first two PCs on lake Malawi morphospace",", just extracted first two PCs on lake Malawi morphospace",1,0,,,
86,"Herczeg, G; Ab Ghani, NI; Merila, J",Evolution of stickleback feeding behaviour: genetics of population divergence at different ontogenetic stages,JOURNAL OF EVOLUTIONARY BIOLOGY,2013,Herczeg_2013,KT,yes,no,no,no,cross,0,,Fig 1,,1,0,,,
87,"Ghani, NIA; Herczeg, G; Leinonen, T; Merila, J",Evidence for genetic differentiation in timing of maturation among nine-spined stickleback populations,JOURNAL OF EVOLUTIONARY BIOLOGY,2013,Ghani_2013,KT,yes,no,no,no,cross,0,,Fig 1,"This study was a bit unique. The true response in the models is 'timing' of maturation, but it's not possible to get a value for females because none matured. Because the 'both sexes' comparison is statistically equivalent to each sex individually, what I did is record the mean maturation date for fish that matured for males only. Female data ommitted",1,0,,,
88,"Anton, KA; Ward, JR; Cruzan, MB",Pollinator-mediated selection on floral morphology: evidence for transgressive evolution in a derived hybrid lineage,JOURNAL OF EVOLUTIONARY BIOLOGY,2013,Anton_2013,KT,yes,no,no,no,cross,0,wild parents collected as field seeds,Table S1,Pooled across 2004 and 2006,1,0,,,
89,"Pritchard, VL; Knutson, VL; Lee, M; Zieba, J; Edmands, S",Fitness and morphological outcomes of many generations of hybridization in the copepod Tigriopus californicus,JOURNAL OF EVOLUTIONARY BIOLOGY,2013,Pritchard_2013,KT,yes,no,no,no,cross,5,"Two months in lab; evidence suggests generation time is about 21 days, so certainlty fwr than 5 gens (https://open.library.ubc.ca/media/download/pdf/831/1.0053324/1)",Table 1,Archived data used for UL and Clasper length. took Data from 'month 3' because that's what has most info. rest from table 1. just took 'f1' parents not F2,1,0,,,
90,"Tsuchiya, Y; Takami, Y; Okuzaki, Y; Sota, T",Genetic differences and phenotypic plasticity in body size between high- and low-altitude populations of the ground beetle Carabus tosanus,JOURNAL OF EVOLUTIONARY BIOLOGY,2012,Tsuchiya_2012,KT,yes,yes,no,no,cross,0,,Dryad (10.5061/dryad.r7m52),,1,0,No,P,F1
91,"Hangartner, S; Laurila, A; Rasanen, K",The quantitative genetic basis of adaptive divergence in the moor frog (Rana arvalis) and its implications for gene flow,JOURNAL OF EVOLUTIONARY BIOLOGY,2012,Hangartner_2012,KT,yes,no,no,yes,cross,0,,Fig2C,,1,0,,,
92,"Berner, D; Kaeuffer, R; Grandchamp, AC; Raeymaekers, JAM; Rasanen, K; Hendry, AP",Quantitative genetic inheritance of morphological divergence in a lake-stream stickleback ecotype pair: implications for reproductive isolation,JOURNAL OF EVOLUTIONARY BIOLOGY,2011,Berner_2011,KT,yes,yes,yes,yes,cross,3,,Fig 1-3; A1; Table 1,N is number of families (conservative). can get trait correlations (probably) from dryad (https://datadryad.org/resource/doi:10.5061/dryad.6vq04),1,0,No,P,
93,"Leotard, G; Saltmarsh, A; Kjellberg, F; Mckey, D","Mutualism, hybrid inviability and speciation in a tropical ant-plant",JOURNAL OF EVOLUTIONARY BIOLOGY,2008,Leotard_2008,KT,yes,yes,no,no,wild,NA,,Author data,Presented in fig 4 but only medians,1,0,No,P,Only 'I' (Hybrids)
94,"Hendrickx, F; Maelfait, JP; Lens, L",Effect of metal stress on life history divergence and quantitative genetic architecture in a wolf spider,JOURNAL OF EVOLUTIONARY BIOLOGY,2008,Hendrickx_2008,KT,yes,no,no,no,cross,0,,"Fig1, Fig2",Only used Cd-0 treatment,1,0,,,
95,"Nygren, GH; Nylin, S; Stefanescu, C",Genetics of host plant use and life history in the comma butterfly across Europe: varying modes of inheritance as a potential reproductive barrier,JOURNAL OF EVOLUTIONARY BIOLOGY,2006,Nygren_2006,KT,yes,no,no,no,cross,0,,"Author data (Preference), Fig 2 (Egg Mass). Error provided in author data.","The author interpret growth rate as heterosis, so not using. Egg mass is considered life history and not fitness. Sample sizes from Author Data",1,0,,,
96,"Bridle, JR; Saldamando, CI; Koning, W; Butlin, RK",Assortative preferences and discrimination by females against hybrid male song in the grasshoppers Chorthippus brunneus and Chorthippus jacobsi (Orthoptera : Acrididae),JOURNAL OF EVOLUTIONARY BIOLOGY,2006,Bridle_2006,KT,yes,no,no,no,cross,0,,Table 1,"Song data from table 1. For preference I extracted only mean response to parent calls, because F1 calls were 'sterile'. Low values COULD indicate 'behavioural sterility' so it's ""ambig.fit"". ",1,0,,,
97,"Pelabon, C; Carlson, ML; Hansen, TF; Yoccoz, NG; Armbruster, WS",Consequences of inter-population crosses on developmental stability and canalization of floral traits in Dalechampia scandens (Euphorbiaceae),JOURNAL OF EVOLUTIONARY BIOLOGY,2004,Pelabon_2004,KT,yes,no,no,no,cross,0,,Table 1,Data only reported for alternative cross directions when significant. Used N individuals (not n blossoms) as replicate number,1,0,,,
98,"Monti, L; Genermont, J; Malosse, C; LalanneCassou, B","A genetic analysis of some components of reproductive isolation between two closely related species, Spodoptera latifascia (Walker) and S-descoinsi (Lalanne-Cassou and Silvain) (Lepidoptera: Noctuidae)",JOURNAL OF EVOLUTIONARY BIOLOGY,1997,Monti_1997,MUC,yes,no,yes,yes,cross,1,wild larvae were brought into the lab to start laboratory colonies,"fig1, 2, 3, (not 4); table 2",,0,1,,,
99,"Katoh, M; Ribi, G",Genetic evidence for natural hybridization and apparent introgression between freshwater snail species (Viviparus ater and V-contectus),JOURNAL OF EVOLUTIONARY BIOLOGY,1996,Katoh_1996,MUC,yes,no,no,no,wild,0,"wild collected individuals, traits measured, genotyped in the lab after",only data in fig 3 suitable,,0,1,,,
100,"LARGIADER, CR; KLINGENBERG, CP; ZIMMERMANN, M","MORPHOMETRIC VARIATION IN A HYBRID ZONE OF 2 SUBSPECIES OF GERRIS-COSTAE (HETEROPTERA, GERRIDAE) IN THE MARITIME ALPS",JOURNAL OF EVOLUTIONARY BIOLOGY,1994,LARGIADER_1994,KT,yes,yes,no,no,cross,0,,Fig 5,"Only used lab reared costa, fieberi, and F1. So it's only dark 'plus', dark 'diamond' and dark 'star'. Pooled mean groups for parents, assumed groups with 75% CI had 10 individuals (that's the minimum). We know for certain that groups are all different, though, so using different letters. Not sure about calculating CI..., for now I report MEAN 75% CI for each group. Parents were raised in the lab too, see 698.",1,0,,,
101,"RHYMER, JM",AN EXPERIMENTAL-STUDY OF GEOGRAPHIC-VARIATION IN AVIAN GROWTH AND DEVELOPMENT,JOURNAL OF EVOLUTIONARY BIOLOGY,1992,RHYMER_1992,MUC,yes,no,no,no,cross,1,"captive breeding crosses, parents were raised in the lab, and used to create hybrid offspring",table 3b,,0,1,,,
102,"Svensson, O; Woodhouse, K; van Oosterhout, C; Smith, A; Turner, GF; Seehausen, O",The genetics of mate preferences in hybrids between two young and sympatric Lake Victoria cichlid species,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2017,Svensson_2017,KT,yes,no,yes,no,cross,0,,"Fig1, Fig. S2","Calculated a 'preference index' as #spawnings with pundamilia / #spawnings with nyererei.So it's ""preference for pundamilia"". Each individual gets a score from 0 (all spawnings with N) to 1 (all spawnings with P). then I took group mean, sd, count. Since it's a continuous trait and not binary I report real SD not binomial.",1,0,,,
103,"Tieleman, BI; Versteegh, MA; Fries, A; Helm, B; Dingemanse, NJ; Gibbs, HL; Williams, JB",Genetic modulation of energy metabolism in birds through mitochondrial function,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2009,Tieleman_2009,MUC,yes,yes,no,no,cross,4,generations in lab varied from 0 to 4,Table2,,0,1,No,P,
104,"Piche, J; Hutchings, JA; Blanchard, W","Genetic variation in threshold reaction norms for alternative reproductive tactics in male Atlantic salmon, Salmo salar",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2008,Piche_2008,KT,yes,no,no,no,cross,0,,"Table 1, Table 3",,1,0,,,
105,"Veen, T; Svedin, N; Forsman, JT; Hjernquist, MB; Qvarnstrom, A; Hjernquist, KAT; Traff, J; Klaassen, M",Does migration of hybrids contribute to post-zygotic isolation in flycatchers?,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2007,Veen_2007,MUC,yes,yes,no,no,wild,0,"wild feathers were collected, and the DNA was compred to blood sample DNA from known individuals (e.g., parents, hybrids)",isotope data in Fig2; note y axis of fig is wrong and says delta13,Scored as 'behaviour' because its a producto f migration,0,1,No,P,
106,"David, JR; Gibert, P; Petavy, G; Moreteau, B",Variable modes of inheritance of morphometrical traits in hybrids between Drosophila melanogaster and Drosophila simulans,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2002,David_2002,KT,yes,no,no,no,cross,20,"The authors indicate that laboratory adaptation is nonexistant or minimal. Strains were pretty outbred and kept in large stocks. All strains of D.mel < 1 yr in lab, except Bazzaville.",,,1,0,,,
107,"Stacy, EA; Johansen, JB; Sakishima, T; Price, DK","Genetic analysis of an ephemeral intraspecific hybrid zone in the hypervariable tree, Metrosideros polymorpha, on Hawai'i Island",HEREDITY,2016,Stacy_2016,KT,yes,yes,no,no,cross,0,,Table S4,"H1 is not neccessarily F1, so only canu se GxI and GxG, IxI.Table S1 is cormat.",1,0,No,P,
108,"Volis, S; Ormanbekova, D; Yermekbayev, K; Abugalieva, S; Turuspekov, Y; Shulgina, I",Genetic architecture of adaptation to novel environmental conditions in a predominantly selfing allopolyploid plant,HEREDITY,2016,Volis_2016,KT,yes,yes,no,no,cross,0,,Table 1,Dryad (http://dx.doi.org/10.5061/dryad.5d3s2),1,0,No,P,F2
109,"Nakazato, T; Rieseberg, LH; Wood, TE",The genetic basis of speciation in the Giliopsis lineage of Ipomopsis (Polemoniaceae),HEREDITY,2013,Nakazato_2013,KT,yes,yes,no,yes,cross,0,wild seeds,Author data,Author data did not contain phenology data or angle of presentation,1,0,No,P,BC
110,"Ruhsam, M; Hollingsworth, PM; Ennos, RA",Early evolution in a hybrid swarm between outcrossing and selfing lineages in Geum,HEREDITY,2011,Ruhsam_2011,KT,yes,yes,no,no,cross,0,Parents seem to be seedlings taken from field and grown in GH. F1s are from controlled crosses,Author data,Controlled F1s not measured in same environment as parents. Use data for 'reference' parents and control F1s.Can get corelations from author data ,1,0,No,P,F1
111,"Loveless, SA; Bridges, WC; Ptacek, MB",Genetics of species differences in sailfin and shortfin mollies,HEREDITY,2010,Loveless_2010,KT,yes,yes,no,yes,cross,0,,Cross means found in Table 3.1. (morphology) and 2.2. (behaviour) of SA Loveless thesis (https://tigerprints.clemson.edu/cgi/viewcontent.cgi?article=1519&context=all_theses).,"Morphology data are in Fig. 3. PC cor is table 1.   All traits except DFR# are size-corrected. A second study with the same fish was in the database that discussed the behaviours reported herein in more detail, but I am grouping them both as 'Loveless_2009'. SL is not treated as a morpholgoical trait but rather a 'control' variable so not recorded here; not possible to get backcross PC scores",1,0,NA,,
112,"Comes, HP; Kadereit, JW","Genetic basis of speed of development in Senecio vulgaris L var vulgaris, S-vulgaris ssp denticulatus (O.F. Muell) P.D. Sell, and Senecio vernalis Waldst & Kit",HEREDITY,1996,Comes_1996,MUC,yes,no,yes,yes,cross,0,crosses were made using material from the Botanic Garden at Heidelberg University. Uncertain how many generations the parents have been there but likely that it's wild collected seeds,"Fig 1, 4",,0,1,,,
113,"Keese, MC",Feeding responses of hybrids and the inheritance of host-use traits in leaf feeding beetles (Coleoptera: Chrysomelidae),HEREDITY,1996,Keese_1996,KT,yes,no,no,no,cross,1,,Tables 1 & 2,Acceptibility ambiguous fitness because volume eaten could be 'more is good',1,0,,,
114,"Orr, MR; PORTER, AH; MOUSSEAU, TA; DINGLE, H",MOLECULAR AND MORPHOLOGICAL EVIDENCE FOR HYBRIDIZATION BETWEEN 2 ECOLOGICALLY DISTINCT GRASSHOPPERS (MELANOPLUS-SANGUINIPES AND M-DEVASTATOR) IN CALIFORNIA,HEREDITY,1994,Orr_1994,KT,yes,yes,no,no,cross,0,,Fig 4,"Size-corrected cercus/fercula by dividing by body size, as authors did. Also recorded body size (ambig fit). Could calculate correlation if need be",1,0,,,
115,"STANHOPE, MJ; LEIGHTON, BJ; HARTWICK, B",POLYGENIC CONTROL OF HABITAT PREFERENCE AND ITS POSSIBLE ROLE IN SYMPATRIC POPULATION SUBDIVISION IN AN ESTUARINE CRUSTACEAN,HEREDITY,1992,STANHOPE_1992,KT,yes,no,yes,no,cross,0,,"Tables 3, 4, 5",Recorded sample size and proportion of choices to first-listed habitat,1,0,,,
116,"Brothers, AN; Barb, JG; Ballerini, ES; Drury, DW; Knapp, SJ; Arnold, ML",Genetic Architecture of Floral Traits in Iris hexagona and Iris fulva,JOURNAL OF HEREDITY,2013,Brothers_2013,KT,yes,yes,yes,no,cross,0,,Table 1,Some traits are 'colour'... do I have enough for a seperate cat? Table 2 is F2 cormat,1,0,No,P,
117,"Ng, J; Kelly, AL; MacGuigan, DJ; Glor, RE","The Role of Heritable and Dietary Factors in the Sexual Signal of a Hispaniolan Anolis Lizard, Anolis distichus",JOURNAL OF HEREDITY,2013,Ng_2013,KT,yes,yes,no,no,cross,0,,Author data,"Can generate cormat from fig2 (or author data); CI letters avail. also, very conservative because using family means. I also have raw data for sibs. Generated Cormat from F2s and PCs from all data",1,0,No,P,All
118,"Auffray, JC; Fontanillas, P; Catalan, J; Britton-Davidian, J",Developmental stability in house mice heterozygous for single Robertsonian fusions,JOURNAL OF HEREDITY,2001,Auffray_2001,KT,yes,no,no,no,cross,1,,Table 1,"Backcross data unconventional (F1s crossed based on their genotype, but these genotype data pooled for F1 trait data), so only using parents and f1",1,0,,,
119,"Mirzaie-Nodoushan, H; Gordon, IL; Rumball, WB",Inheritance of growth habit-related attributes in red clover (Trifolium pratense L.),JOURNAL OF HEREDITY,1999,Mirzaie-Nodoushan_1999,KT,yes,no,no,yes,cross,0,Authors say they are using non-cultivated plants with the purpose of possibly crossing with commercial varieties,Table 2,"pooled across 'set'. Authors present 'within-plot' variance. The number of replicates is unclear but no less than 6, so I conservatively put '6' for each group. Each set replicated three times, two sets",1,0,,,
120,"PASDAR, M; PHILIPP, DP; WHITT, GS",ENZYME-ACTIVITIES AND GROWTH-RATES IN 2 SUNFISH SPECIES AND THEIR HYBRIDS,JOURNAL OF HEREDITY,1984,PASDAR_1984,MUC,yes,no,no,no,cross,1,"artificial crosses in labs, parental and F1, moved to outdoor ponds, data reported was sampled at 1 year of age",table 2 enzyme data; table 1 mass data interpreted as 'heterosis' so not using,,0,1,,,
121,"Hall, MC; Basten, CJ; Willis, JH",Pleiotropic quantitative trait loci contribute to population divergence in traits associated with life-history variation in Mimulus guttatus,GENETICS,2006,Hall_2006,MUC,yes,no,yes,no,cross,5,,Table 1,some traits no good (everything from 'viable pollen grains' and down'); note ken will collect cormat,0,1,No,P,F2
122,"Bratteler, M; Baltisberger, M; Widmer, A",QTL analysis of intraspecific differences between two Silene vulgatis ecotypes,ANNALS OF BOTANY,2006,Bratteler_2006b,KT,yes,yes,yes,no,cross,1,,Table 1,Some traits redundant with Bratteler_2006a; only collected those not already reported. same plants.,1,0,No,P,F2
123,"Bradshaw, HD; Otto, KG; Frewen, BE; McKay, JK; Schemske, DW",Quantitative trait loci affecting differences in floral morphology between two species of monkeyflower (Mimulus),GENETICS,1998,Bradshaw_1998,KT,yes,yes,yes,no,cross,0,wild plants from yosemite,author data,from 'sacred' data,1,0,No,P,F2
124,"Lehmann, P; Margus, A; Lindstrom, L",Inheritance patterns of photoperiodic diapause induction in Leptinotarsa decemlineata,PHYSIOLOGICAL ENTOMOLOGY,2016,Lehmann_2016,KT,yes,no,no,no,cross,8,"russian 8, italian 3/5","Fig 1, Fig 2",n is family number * 10. divided in half for seperate sexes (unclear actual ratio so assumed 50:50),1,0,,,
125,"Soudi, S; Reinhold, K; Engqvist, L",Genetic architecture underlying host choice differentiation in the sympatric host races of Lochmaea capreae leaf beetles,GENETICA,2016,Soudi_2016,KT,yes,no,yes,yes,cross,0,,"fig1 (choice); note, do not use Bc2","fig1 (choice); note, do not use Bc2",1,0,,,
126,"Keena, MA; Grinberg, PS; Wallner, WE",Inheritance of female flight in Lymantria dispar (Lepidoptera : Lymantriidae),ENVIRONMENTAL ENTOMOLOGY,2007,Keena_2007,KT,yes,no,yes,yes,cross,2,Confirmed with authors,"Table 2, Figure 3","Had to guess at sample size for the morphology, but seems at least to be 25 (could be greater). authors provide SE.",1,0,,,
127,"Echave, JD; Manhard, CV; Smoker, WW; Adkison, MD; Gharrett, AJ",Out crosses between seasonally different segments of a Pacific salmon population reveal local adaptation,ENVIRONMENTAL BIOLOGY OF FISHES,2017,Echave_2017,KT,yes,no,no,no,cross,0,,Fig 3,Trait mean is the 'peak' of the posterior density. The 95% posterior density interval is the values +/- which includes 95% of the posterior density,1,0,,,
128,"Husemann, M; Tobler, M; McCauley, C; Ding, BQ; Danley, PD","Body shape differences in a pair of closely related Malawi cichlids and their hybrids: Effects of genetic variation, phenotypic plasticity, and transgressive segregation",ECOLOGY AND EVOLUTION,2017,Husemann_2017,KT,yes,yes,yes,yes,cross,12,"authors compare to wild-caught specimens which suggests that no laboratory adaptation has occurred (""differences btt the species are maintained after 12 generations..."")",author data,just using first 3 pcs because they each explain ~10% or more of the var.,1,0,NA,,
129,"Zakas, C; Rockman, MV",Dimorphic development in Streblospio benedicti: genetic analysis of morphological differences between larval types,INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,2014,Zakas_2014,KT,yes,no,yes,yes,cross,0,,Fig2,,1,0,,,
130,"AbGhani, NI; Kuparinen, A; Leinonen, T; Merila, J",Population- and sex-specific divergence in growth patterns between two ninespine stickleback (Pungitius pungitius L) populations,EVOLUTIONARY ECOLOGY RESEARCH,2013,AbGhani_2013,MUC,yes,no,no,no,cross,1,wild crosses lab reared,Fig2 data (all traits for males and females),,0,1,,,
131,"Laugen, AT; Laurila, A; Merila, J",Maternal and genetic contributions to geographical variation in Rana temporaria larval life-history traits,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2002,Laugen_2002,KT,yes,no,no,no,cross,0,,Fig 1,Used 'ad libitum' treatment (solid lines). just using RAW trait data (not 'controlling for egg size') because controlling for egg size takes out a possibly important maternal effect. says in text 16 frogs were used for each treatment/cross so that is used for N,1,0,,,
132,"Concannon, MR; Albertson, RC",The Genetic and Developmental Basis of an Exaggerated Craniofacial Trait in East African Cichlids,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2015,Concannon_2015,KT,yes,no,yes,no,cross,0,Parents wild caught panel,Author data,,1,0,,,
133,"Wilson, P; Jordan, EA","Hybrid intermediacy between pollination syndromes in Penstemon, and the role of nectar in affecting hummingbird visitation",BOTANY-BOTANIQUE,2009,Wilson_2009,KT,yes,no,no,yes,cross,0,,Fig1-9,Did not collect BCs because they are presumed,1,0,,,
134,"Kohn, LAP; Langton, LB; Cheverud, JM",Subspecific genetic differences in the saddle-back tamarin (Saguinus fuscicollis) postcranial skeleton,AMERICAN JOURNAL OF PRIMATOLOGY,2001,Kohn_2001,KT,yes,no,no,no,cross,10,animals brought into lab in 60s and all speciments born before 1975; generation time is about 2-5 yrs so <10 gens,table III and IV. note: illigeri is in both tables and i think the data is the same and doesn't need to be entered twice. animals brought into lab in 60s and all speciments born before 1975; generation time is about 2-5 yrs so <10 gens. try to copy tables wright from text to save on time.,use https://pdftoxls.com; DWM MID assumed to be FEM MID,1,0,,,
135,"Szucs, M; Eigenbrode, SD; Schwarzlander, M; Schaffner, U","Hybrid vigor in the biological control agent, Longitarsus jacobaeae",EVOLUTIONARY APPLICATIONS,2012,Szucs_2012,KT,yes,yes,yes,no,cross,10,"swiss beetles in lab for a bit, but fewer than 10 gens. putting 10 for conservative.","Author data (supposed to be online supp but wasn't there, so I emailed)",Can get cormat from author data,1,0,No,,
136,"Soto, IM; Soto, EM; Corio, C; Carreira, VP; Manfrin, M; Hasson, E",Male Genital and Wing Morphology in the Cactophilic Sibling Species Drosophila gouveai and Drosophila antonietae and Their Hybrids Reared in Different Host Plants,ENVIRONMENTAL ENTOMOLOGY,2010,Soto_2010,KT,yes,yes,no,no,cross,3,isofemale lines,"Fig 5, Fig 6","Fig 4 represents traits that are ambiguous fitness traits, authors indicate hybrids are 'reduced' versions of parents with respect to size. Var is 95% ci (symmetrical) and I estimated sample size by dividing reported sample size by two and splitting across the two 'rearing' treatments. might not be exact within treatment but accurate for the study",1,0,NA,,
137,"Raeymaekers, JAM; Delaire, L; Hendry, AP","Genetically based differences in nest characteristics between lake, inlet, and hybrid threespine stickleback from the Misty system, British Columbia, Canada",EVOLUTIONARY ECOLOGY RESEARCH,2009,Raeymaekers_2009,KT,yes,no,no,no,cross,1,,Table 1,,1,0,,,
