Original_Order,author,title,journal,year,StudyID,collector,collected,CorMat_or_PC,F2,BC,Controlled_or_wild,N_gens_in_lab_for_P_gen,N_gens_note,data_source,data_notes,KTDONE,MUCDONE,Cormat_Done,Genetic_or_Phenotypic,CorMat_Notes
138,"Fatouros, NE; Hilker, M; Gross, J",Reproductive isolation between populations from Northern and Central Europe of the leaf beetle Chrysomela lapponica L.,CHEMOECOLOGY,2006,Fatouros_2006,KT,yes,no,,,cross,0,,Fig2,Authors interpret development time & body weight as heterosis (no good; p249 right halfway down). Data in Table 2 appear good but animals were raised in different environments..,1,0,,,
139,"Smith, DAS; Gordon, IJ; Lushai, G; Goulson, D; Allen, JA; MacLean, N",Hybrid queen butterflies from the cross Danaus chrysippus (L.)xD. gilippus (Cramer): confirmation of species status for the parents and further support for Haldane's Rule,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2002,Smith_2002,MUC,yes,no,no,no,cross,1,eggs obtained from wild females and lab reared,"table 2 just use left and right spines, ignore rest",table 1 forewing length interpreted as 'heterosis'. genetalia characters was listed as data to collect in the lit search database. I only collected table 2 data because that was what was set up for me in ken_frame. also seems different environments for parent vs. hybrids(wild vs lab) for forewing measurements only (pg 537 right side),0,1,,,
141,"ROSS, MR; CAVENDER, TM",MORPHOLOGICAL ANALYSES OF 4 EXPERIMENTAL INTERGENERIC CYPRINID HYBRID CROSSES,COPEIA,1981,ROSS_1981,MUC,yes,no,no,no,both,NA,Could not find information about the number of genertions fish were in the lab,Table 1-4;note some redundancy among tables so don't collect same data twice. also this study is a bit unique becasue they did a lab control even though one of the parents of comparison was 'wild'. they find lab characters are representative so Ill keep it in. So for 'cross/wild' I put both. Assumed cross D sample size was 20; this is the low end.,,0,1,,,
142,"WHITE, JA",VIABLE HYBRID YOUNG FROM CROSSMATED PERIODICAL CICADAS,ECOLOGY,1973,WHITE_1973,KT,yes,no,no,no,cross,0,,Table 5,,1,0,,,
143,"Giesen, A; Blanckenhorn, WU; Schafer, MA",Behavioural mechanisms of reproductive isolation between two hybridizing dung fly species,ANIMAL BEHAVIOUR,2017,Giesen_2017,KT,yes,no,no,no,cross,1,,Table 3,"C, CxN, NxC, N. from Figure 3.All traits ambigious fitness, but some deffinitely are and are not collelcted. used author designation  Authors say that 'copulation frequency' interprets as Hybrid vigour, so no good. Also, copulation duration interpreted as a hybrid incompatibility with sperm transfer. Only recording 'shaking duration' which is interpreted as 'Female shaking duration, signifying female choice and/or reluctance to mate, differed strongly between the species and appears to contribute to avoiding heterospecific males; this trait is partially maternal inherited.' sample size a bit ambiguous, but assumed to be 15.",1,0,,,
144,"Rouleau, S; Glemet, H; Magnan, P",Effects of morphology on swimming performance in wild and laboratory crosses of brook trout ecotypes,FUNCTIONAL ECOLOGY,2010,Rouleau_2010,KT,yes,yes,,,cross,0,,"Fig 3BD, 4AB. Critical swimming speed and cost of ion transport are fitness; the two others are ambig. also getting PC morphology. Dalziel interprets as being under divergent selection but not this case.",a couple of traits subjectively excluded as fitness (cost of transport and critical swimming speed),1,0,NA,,
146,"Campbell, DR; Waser, NM",Evolutionary dynamics of an Ipomopsis hybrid zone: Confronting models with lifetime fitness data,AMERICAN NATURALIST,2007,Campbell_2007,KT,yes,no,no,no,cross,0,,Appendix Figure A2,Family unit of replication so trait n = family n,1,0,,,
147,"Campbell, DR; Galen, C; Wu, CA",Ecophysiology of first and second generation hybrids in a natural plant hybrid zone,OECOLOGIA,2005,Campbell_2005,KT,yes,yes,yes,no,cross,0,wild seeds,"Fig. 1A, Fig. 4","Using 2001 data because that is when most traits were measured and what cormat is for. The traits are interpreted as 'heterosis' so marking as ambigfit. Fig 1 using noon (more variation)and no line crossing significant.Taking Fig 3 for A/E (WUE). Nitrogren and C data already in Campbell paper collected by MUC. In this paper they seem to use n plants as reps so that's what's here. 117 plants in figs, 25 originally planted of 5 types. Can't figure out who died so assuming 2of each crosstype so my n = 115",1,0,No,P,
148,"Vallejo-Marin, M; Quenu, M; Ritchie, S; Meeus, S",Partial interfertility between independently originated populations of the neo-allopolyploid Mimulus peregrinus,PLANT SYSTEMATICS AND EVOLUTION,2017,Vallejo-Marin_2017,KT,yes,yes,no,no,cross,0,,Author data,Pooled F1 and F2 data for parents,1,0,No,,
149,"Kokita, T; Takahashi, S; Kinoshita, M",Evolution of gigantism and size-based female mate choice in ice goby (Leucopsarion petersii) populations in a semi-enclosed sea basin,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2017,Kokita_2017,KT,yes,no,no,no,cross,0,,Author data,,1,0,,,
150,"Larcombe, MJ; Silva, JCE; Tilyard, P; Gore, P; Potts, BM",On the persistence of reproductive barriers in Eucalyptus: the bridging of mechanical barriers to zygote formation by F-1 hybrids is counteracted by intrinsic post-zygotic incompatibilities,ANNALS OF BOTANY,2016,Larcombe_2016,KT,yes,no,no,no,cross,3,,Author data,not given raw data.,1,0,,,
151,"Keller, B; de Vos, JM; Schmidt-Lebuhn, AN; Thomson, JD; Conti, E",Both morph- and species-dependent asymmetries affect reproductive barriers between heterostylous species,ECOLOGY AND EVOLUTION,2016,Keller_2016,KT,yes,no,no,no,cross,0,,Fig3,"only used 'peak' flowering data for each individual because all traits are correlated. rest of traits are fitness. data are presented in jul.date. data presented as DIFFERENCE between each and the minimum (VU*VU), which difference is 0, in units of 'days'. So pureEL is 10 days later. Dryad data (https://datadryad.org/resource/doi:10.5061/dryad.c715s)",1,0,,,
152,"Lehtinen, RM; Steratore, AF; Eyre, MM; Cassagnol, ES; Stern, ML; Edgington, HA","Identification of Widespread Hybridization between Two Terrestrial Salamanders Using Morphology, Coloration, and Molecular Markers",COPEIA,2016,Lehtinen_2016,KT,yes,yes,no,no,wild,NA,,Author data,Author indicates that Q >= 0.9 is high confidence; so this is the cutoff I used from the raw-data,1,0,No,,
153,"Vitova, J; Vit, P; Suda, J",Rare occurrence of reciprocal hybridization in a sympatric population of the Czech stenoendemic Dianthus arenarius subsp bohemicus and widespread D. carthusianorum,PRESLIA,2015,Vitova_2015,KT,yes,yes,no,no,wild,NA,,Fig 3,"Corresponding author deceased, so just getting PC data. Also, since hermaprodites grouped w/ females not including the sex variables.",1,0,NA,,
154,"Jacquemyn, H; Brys, R; Honnay, O; Roldan-Ruiz, I",Asymmetric gene introgression in two closely related Orchis species: evidence from morphometric and genetic analyses,BMC EVOLUTIONARY BIOLOGY,2012,Jacquemyn_2012,KT,yes,yes,yes,no,wild,NA,,Author data,"Only using individuals with probability 0.95 of being in their genotype class. Not taking 'backcross' data because gen is unclear. So only the two P and F1/F2. One individual perhaps incorrectly assigned to group by the authors, so i deleted (P86). cormat from author data",1,0,No,P,F1 & F2
155,"Favre, A; Karrenberg, S",Stress tolerance in closely related species and their first-generation hybrids: a case study of Silene,JOURNAL OF ECOLOGY,2011,Favre_2011,MUC,yes,no,no,no,cross,0,"parental plants grown in lab for one generation, crosses made with lab reared plants",Fig 2 data only (fig1 are fitness); parents wild. use 'benign' treatment. n = n families,,0,1,,,
156,"Gottsberger, B; Mayer, F","Behavioral sterility of hybrid males in acoustically communicating grasshoppers (Acrididae, Gomphocerinae)",JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,2007,Gottsberger_2007,MUC,yes,yes,yes,yes,cross,0,"parents collecte from nature, F1 crosses created in lab, and used to create F2 and backcrossses. So technically, parents were in lab 0-1 generation","Table 1, Fig4 for PCs",,0,1,NA,,
157,"Martin, NH; Bouck, AC; Arnold, ML",The genetic architecture of reproductive isolation in Louisiana irises: Flowering phenology,GENETICS,2007,Martin_2007b,MUC,yes,no,no,yes,cross,0,"parents are clones, 5 years in the greenhouse",Fig2 is good,sample size is number of rhizomes but only really had 2 clones.,0,1,,,
158,"Punzalan, D; Rowe, L",Hybridisation and lack of prezygotic barriers between Phymata pennsylvanica and americana,ECOLOGICAL ENTOMOLOGY,2017,Punzalan_2017,MUC,yes,no,no,no,cross,0,nymph stages collected from the wild and controlled crosses were perfomred to make hybrids. unclear how long parental popualtions were maintained in the lab before testing,fig3 data,"ignore ""M"" putative hybrids",0,1,,,
159,"Roriz, AKP; Japyassu, HF; Joachim-Bravo, IS",Incipient speciation in the Anastrepha fraterculus cryptic species complex: reproductive compatibility between A. sp.1 aff. fraterculus and A. sp.3 aff. fraterculus,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,2017,Roriz_2017,MUC,yes,no,no,no,cross,5,The populations were established in the laboratory according to the methodologies used at the Insect Pest Control Laboratory of the FAO/IAEA,Table 2; n is number of replicate trials,"From author: ""Populations were collected in the field in infested guava (Psydium guajava L., Myrtaceae) and were used in the experiments from  F1 to F4 or F5 generations at the most. The collections were redone to restore the creations in the laboratory.The population A. sp.3 aff. fraterculus has not survived many generations in the laboratory, however A. sp.1 aff. fraterculus can be suvive for long periods. The cycle (of each generation) of these populations in the laboratory from the egg phase to the emergence of the adult takes around 16-21 days on average. This data is different from the age of sexual maturation (17 and 20 days) which corresponds to the age after the adult's emergency until this sexual activity begins.""",0,1,,,
160,"Sano, S; Nakayama, Y; Ohigashi, K; Nogami, T; Yagyu, A","Flowering behaviors of the inflorescences of an alien plant (Plantago asiatica), an alpine plant (Plantago hakusanensis), and their hybrids on Mt. Hakusan, Japan",WEED BIOLOGY AND MANAGEMENT,2016,Sano_2016,KT,yes,no,no,no,cross,0,,Table 1 (n given as infl. and ovule n) and Table 2(number individuals is n),,1,0,,,
161,"Jancuchova-Laskova, J; Landova, E; Frynta, D","Experimental Crossing of Two Distinct Species of Leopard Geckos, Eublepharis angramainyu and E. macularius: Viability, Fertility and Phenotypic Variation of the Hybrids",PLOS ONE,2015,Jancuchova-Laskova_2015,MUC,yes,yes,yes,yes,cross,1,animals collected 1 generation ago,"Table 3, (same data as in fig3), Fig4; Fig5, also Fig 6",,0,1,NA,,
162,"Kimball, S; Campbell, D",Physiological differences among two Penstemon species and their hybrids in field and common garden environments,NEW PHYTOLOGIST,2009,Kimball_2009,MUC,yes,no,no,no,cross,0,"cuttings taken from the wild and propogated in the lab for natural hybrids and parents, hubrid crosses conducted in lab too, have indicated this with ""cross""",Fig4,use only synthetic hybrids and not natural (because ambiguous),0,1,No,,In text
163,"LEGNER, EF","INHERITANCE OF GREGARIOUS AND SOLITARY OVIPOSITION IN MUSCIDIFURAX-RAPTORELLUS KOGAN AND LEGNER (HYMENOPTERA, PTEROMALIDAE)",CANADIAN ENTOMOLOGIST,1987,LEGNER_1987,KT,yes,no,yes,yes,cross,0,,Table 9,"The authors have collected data fro different cross directions, but it's quite difficult to understand exactly what is going on in table 1, for example. So decided to use cross-type means in Table 9 to be most accurate.  Used log data because variances seem outrageous with arcsin; and heard back things about arcsin being asinine!",1,0,,,
164,"Knowlton, JL; Flaspohler, DJ; Mcinerney, NCR; Fleischer, RC",First Record of Hybridization in the Hawaiian Honeycreepers: 'I'iwi (Vestiaria coccinea) X 'Apapane (Himatione sanguinea),WILSON JOURNAL OF ORNITHOLOGY,2014,Knowlton_2014,KT,yes,no,no,no,wild,NA,,Table 3,"Only using MALE data in table 3, because the one F1 is a male.",1,0,,,
165,"Yamashita, YT; Aritaki, M; Kurita, Y; Tanaka, M",Early growth and development of reciprocal hybrids of the starry flounder Platichthys stellatus and stone flounder Kareius bicoloratus,JOURNAL OF FISH BIOLOGY,2014,Yamashita_2014,KT,yes,no,no,no,cross,0,,Tables 1-4; Fig4; Fig6. ,Did not use egg yolk data (all zero value). Not using SB since it is a different population than parents. Standard deviations are esimtated from the range assuming a normal distribution by dividing range / 2.97,1,0,,,
166,"FRITZ, ES; GARSIDE, ET","IDENTIFICATION AND DESCRIPTION OF HYBRIDS OF FUNDULUS-HETEROCLITUS AND FUNDULUS-DIAPHANUS (PISCES-CYPRINODONTIDAE) FROM PORTERS LAKE, NOVA-SCOTIA, WITH EVIDENCE FOR ABSENCE OF BACKCROSSING",CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,1974,FRITZ_1974,KT,yes,no,no,no,wild,NA,,"Fig3, 4, 5, 6",Only 'Porter's lake' specimens used. Not using 'hybrid index' because it's not quantitative. Thanks to authors for giving mean+ sd in figs. Authors verified that hybrids were 'invariably' F1,1,0,,,
167,"Bog, Manuela; Elmer, Michael; Doppel, Martin; Ehrnsberger, Hans Friedrich; Beuerle, Till; Heilmann, Jorg; Oberprieler, Christoph","Phytochemical investigations and food-choice experiments with two mollusc species in three central European Senecio L. (Asteraceae, Senecioneae) species and their hybrids",CHEMOECOLOGY,2017,Bog_2017,KT,yes,yes,no,no,cross,0,,Author data,,1,0,No,P,
168,"Liu, Fan; Zhang, Xiao-Lin; Wang, Qing-Feng; Liu, Hui; Wang, Guang-Xi; Li, Wei","Resource allocation among sexual, clonal reproduction and vegetative growth of two Potamogeton species and their hybrid: Adaptability of the hybrid in relation to its parents",JOURNAL OF SYSTEMATICS AND EVOLUTION,2013,Liu_2013,MUC,yes,no,no,no,wild,0,"grew wild collected parents and hybirds in lab, measured that generation",Get data from Fig 3 and 4,"I am assuming the variance measure is SD, doesn't state it in figure captions or in paper. use intermediate water depth (1.0 m) and 'benign' (clay) soil (solid symbols); F1 is natural hybrid but is confirmed to be F1 in earlier study. sample size is ramet number",0,1,,,
169,"Piwczynski, M.; Ponikierska, A.; Puchalka, R.; Corral, J. M.",Expression of anatomical leaf traits in homoploid hybrids between deciduous and evergreen species of Vaccinium,PLANT BIOLOGY,2013,Piwczynski_2013,KT,yes,yes,no,no,wild,NA,,Author data,could make PCs if needed,1,0,No,P,Intermedium
170,"Vereecken, Nicolas J.; Cozzolino, Salvatore; Schiestl, Florian P.",Hybrid floral scent novelty drives pollinator shift in sexually deceptive orchids,BMC EVOLUTIONARY BIOLOGY,2010,Vereecken_2010,MUC,yes,yes,no,no,wild,0,"Five hybrid individuals, representing a set of 15 fresh and unpollinated flowers, were dug out, transplanted in pots and used for hand pollination experiments. Unclear how long parents were in lab, or if they were also brought straight from wild into the greenhouse",data in Fig 3 (note they are like PCs),F1s confirmed sterile and molecular data suggests no BC,0,1,NA,,
171,"Stahlberg, David","Habitat differentiation, hybridization and gene flow patterns in mixed populations of diploid and autotetraploid Dactylorhiza maculata s.l. (Orchidaceae)",EVOLUTIONARY ECOLOGY,2009,Stahlberg_2009,KT,yes,yes,no,no,wild,NA,,"Appendix 2, Fig5","polyploid. pooled across the two sites, note that PC data only from one site. some characters don't have SD",1,0,NA,,
172,"Wu, CA; Campbell, DR",Environmental stressors differentially affect leaf ecophysiological responses in two Ipomopsis species and their hybrids,OECOLOGIA,2006,Wu_2006,KT,yes,no,yes,no,cross,0,,Table 2,,1,0,,,
173,"Yorkston, M; Daehler, CC",Interfertility between Hawaiian ecotypes of Sida fallax (Malvaceae) and evidence of a hybrid disadvantage,INTERNATIONAL JOURNAL OF PLANT SCIENCES,2006,Yorkston_2006,KT,yes,yes,no,no,cross,0,parents were field-collected seeds,Table 3,Only traits that are different present in table; did not take leaf margin because it's really binary. but did take dark spot of flower even though it's categorical it does seem pretty continuous,1,0,NA,,
174,"Emms, SK; Arnold, ML",Site-to-site differences in pollinator visitation patterns in a Louisiana iris hybrid zone,OIKOS,2000,Emms_2000,KT,yes,no,no,no,wild,NA,F1s crossed and planted in the field.,Table 1,From a mix of two sites,1,0,,,
175,"Wendt, T; Canela, MBF; Morrey-Jones, JE; Henriques, AB; Rios, RI",Recognition of Pitcairnia corcovadensis (Bromeliaceae) at the species level,SYSTEMATIC BOTANY,2000,Wendt_2000,MUC,yes,yes,no,no,cross,1,,Table 3 (please also get PC scores from Fig 4),"F1 crosses are artificial, they do not occur in the wild",0,1,NA,,
176,"Driebe, EM; Whitham, TG",Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition,OECOLOGIA,2000,Driebe_2000,KT,yes,no,no,no,wild,NA,Authors know that the trees are F1s,Table 2,"Using only 1994 data because more reps, and big differences between the two years make it hard to pool and no f1s. BC seems ambiguous so not using.",1,0,,,
177,"ANDERSSON, S","MORPHOMETRIC DIFFERENTIATION, PATTERNS OF INTERFERTILITY, AND THE GENETIC-BASIS OF CHARACTER EVOLUTION IN CREPIS-TECTORUM (ASTERACEAE)",PLANT SYSTEMATICS AND EVOLUTION,1993,ANDERSSON_1993,KT,yes,no,no,no,cross,0,,Table 5,"No variances given but can still estimate OD/MD for across study comparison. all traits assumed to haven . of 33, that's smallest",1,0,,,
178,"WARWICK, SI; THOMPSON, BK; BLACK, LD",HYBRIDIZATION OF CARDUUS-NUTANS AND CARDUUS-ACANTHOIDES (COMPOSITAE) - MORPHOLOGICAL VARIATION IN F1 HYBRIDS AND BACKCROSSES,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,1992,WARWICK_1992,KT,yes,yes,no,yes,cross,0,,"Fig 1(P), 2 (H), 3 (BC); Table 1 and 2",SE is given conservatively for non-segregating (P and F1) and segregating (BC) crosses as a group for sample size of 50... so it's conservative. a bit weird but the authors stress that it's conservative. ,1,0,NA,,
179,"WARWICK, SI; THOMPSON, BK; BLACK, LD","COMPARATIVE GROWTH-RESPONSE IN CARDUUS-NUTANS, CARDUUS-ACANTHOIDES, AND THEIR F1 HYBRIDS",CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,1990,WARWICK_1990,KT,yes,no,no,no,cross,0,seeds collected in field used as parents,Table 3,Used 'standard' and 'unfertilized' because it seemed most typical. SE given for the group in the legend.,1,0,,,
180,"Hopper, SD",PROGENY TRIALS IN AN INTROGRESSIVE HYBRID POPULATION OF ANIGOZANTHOS LABILL (HAEMODORACEAE),AUSTRALIAN JOURNAL OF BOTANY,1978,Hopper_1978,KT,yes,yes,no,no,cross,0,plants grown outside,Table 1,"Axis 2 taken from fig3b in cited paper Hopper 1977, same plants. SD estimated as Range/4",1,0,NA,,
181,"Wu, R; Bradshaw, HD; Stettler, RF",Molecular genetics of growth and development in Populus (Salicaceae) .5. Mapping quantitative trait loci affecting leaf variation,AMERICAN JOURNAL OF BOTANY,1997,Wu_1997,KT,yes,no,yes,no,cross,0,,Table 1,"Only using 'CT' data because authors describe it as being the most discriminating and also they are all correlated. Also, SLA is interpreted by authors as 'vigour' so not using. Not using 'score' traits. Authors state that the leaf area and petiole length are correlated, so putting that as 'ambig fit'.",1,0,,,
182,"FENSTER, CB; DIGGLE, PK; BARRETT, SCH; RITLAND, K",THE GENETICS OF FLORAL DEVELOPMENT DIFFERENTIATING 2 SPECIES OF MIMULUS (SCROPHULARIACEAE),HEREDITY,1995,FENSTER_1995,KT,yes,no,yes,yes,cross,0,,Table 1,,1,0,,,
183,"FENSTER, CB; RITLAND, K",QUANTITATIVE GENETICS OF MATING SYSTEM DIVERGENCE IN THE YELLOW MONKEYFLOWER SPECIES COMPLEX,HEREDITY,1994,FENSTER_1994b,KT,yes,yes,yes,yes,cross,0,some indication of 'maintenance' of lines but not clear what this means,Table 1,"BC2 means backcross to parent2, etc. table 4 is cormat. devised my own naming scheme because there's a lot of redundancy in the naming within paper. final listed cross not collected bc no F1",1,0,Yes,G,Wide CIs
184,"MACNAIR, MR; CUMBES, QJ",THE GENETIC ARCHITECTURE OF INTERSPECIFIC VARIATION IN MIMULUS,GENETICS,1989,MACNAIR_1989,KT,yes,yes,yes,yes,cross,0,,Tabl2; Cormat Table 3,TraitNo doesnt match table 2 because several traits dropped by author,1,0,No,G,Note: do not use asterisks and instead put NA in statistical significance column
185,"Ikten, Cengiz; Skoda, Steven R.; Hunt, Thomas E.; Molina-Ochoa, Jaime; Foster, John E.",Genetic Variation and Inheritance of Diapause Induction in Two Distinct Voltine Ecotypes of Ostrinia nubilalis (Lepidoptera: Crambidae),ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,2011,Ikten_2011,MUC,yes,no,yes,yes,cross,3,Seem in lab for just two or three gens.,just use critical photoperiod as variable (table 2),"variance measured in 95% fiducial limits (FL); cannot get sample size for groups so I used the minimum number of families, which is 75 (some up to 200, though)",0,1,,,
186,"Kronforst, MR; Young, LG; Kapan, DD; McNeely, C; O'Neill, RJ; Gilbert, LE",Linkage of butterfly mate preference and wing color preference cue at the genomic location of wingless,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2006,Kronforst_2006,KT,yes,no,yes,yes,cross,10,"No indication that these have been in the lab for a while, but generation not given; 10 is conservative",Fig 2,Pooled across wing colour within cross type,1,0,,,
187,"Lair, KP; Bradshaw, WE; Holzapfel, CM","Evolutionary divergence of the genetic architecture underlying photoperiodism in the pitcher-plant mosquito, Wyeomyia smithii",GENETICS,1997,Lair_1997,KT,yes,no,yes,yes,cross,6,4-6,Fig3,,1,0,,,
188,"ANDERSSON, S",DIFFERENCES IN THE GENETIC-BASIS OF LEAF DISSECTION BETWEEN 2 POPULATIONS OF CREPIS-TECTORUM (ASTERACEAE),HEREDITY,1995,ANDERSSON_1995,MUC,yes,no,yes,no,cross,3,"Three generations of self-pollination were used to establish one (partly) inbred line for each of the Norrköping and Aland populations, while the Oland population was
represented by a full-sib family derived from a single, male-sterile plant found in another study (Andersson,1991b) and maintained for three generations by crossing male sterile plants with pollen from male-fertile plants in the same family",Fig2 (histogram),"histograms, collected parental data from left most panels (parental data was repeated multiple times)",0,1,,,
189,"TARPLEY, MD; BREDEN, F; CHIPPENDALE, GM","GENETIC-CONTROL OF GEOGRAPHIC-VARIATION FOR CANNIBALISM IN THE SOUTHWESTERN CORN-BORER, DIATRAEA-GRANDIOSELLA",ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,1993,TARPLEY_1993,KT,yes,no,yes,yes,cross,5,estimate; collected in 1988 and experiments conducted in 1989. seems >2 generations per year is a bit rare,Table 2,A bit weird of a study. Can't get the percent frequency from the Fig.1 but extent of cannibalism scored in table 1. pupation data might be caused by incompatibilities and strangely grouped by cannibalistic vs. not cannibalistic.,1,0,,,
190,"ANDERSSON, S",GEOGRAPHICAL VARIATION AND GENETIC-ANALYSIS OF LEAF SHAPE IN CREPIS-TECTORUM (ASTERACEAE),PLANT SYSTEMATICS AND EVOLUTION,1991,ANDERSSON_1991,KT,yes,no,yes,no,cross,0,,Figure 3,sample size estimated from histograms,1,0,,,
191,"Shore, JS; BARRETT, SCH",QUANTITATIVE GENETICS OF FLORAL CHARACTERS IN HOMOSTYLOUS TURNERA-ULMIFOLIA VAR ANGUSTIFOLIA WILLD (TURNERACEAE),HEREDITY,1990,Shore_1990,KT,yes,yes,no,yes,cross,0,wild plants parents,table 1,n reps is n flowers. cormat is table 5; g and p,1,0,Table 5,P,G also given
192,"HAYES, JL; BANDY, DJ; DINGLE, H",GENETIC-ANALYSIS OF DIAPAUSE DIFFERENCES BETWEEN POPULATIONS OF THE LARGE MILKWEED BUG,JOURNAL OF HEREDITY,1987,HAYES_1987,KT,yes,no,yes,yes,cross,10,"Unclear exactly but certainly less than 10, saying 10 to be conservative. Were collected previous year and maintained in lab; generations are more than 30 days hence less than 10 gen",Table I,SD calculated manually from binary array,1,0,,,
193,"Park, IS; Nam, YK; Douglas, SE; Johnson, SC; Kim, DS","Genetic characterization, morphometrics and gonad development of induced interspecific hybrids between yellowtail flounder, Pleuronectes ferrugineus (Storer) and winter flounder, Pleuronectes americanus (Walbaum)",AQUACULTURE RESEARCH,2003,Park_2003,KT,yes,no,no,no,cross,0,,Table 4,,1,0,,,
194,"Naisbit, RE; Jiggins, CD; Mallet, J",Disruptive sexual selection against hybrids contributes to speciation between Heliconius cydno and Heliconius melpomene,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2001,Naisbit_2001,KT,yes,no,no,no,cross,10,"Unclear exactly but certainly less than 10, saying 10 to be conservative. Were collected previous year and maintained in lab; generations are more than 30 days hence less than 10 gen",Fig 1,Only took out Courtship record.,1,0,,,
195,"Brodie, J; Masuda, M; Mine, I; Guiry, MD","Two morphologically similar biological species: Chondrus pinnulatus and C-armatus (Gigartinaceae, Rhodophyta)",JOURNAL OF PHYCOLOGY,1997,Brodie_1997,KT,yes,no,no,no,cross,0,seems like zero from methods but cannot be sure,Table 11,"Used only NONSHAKEN Tetrasprophyte. Gametophytes seem to have discrete 'forms', so difficult to compare. Nonshaken is only type of tetrasporophyte present in both parents and both hybrids. Maximum of the two traits bc it doesn't seem like they're telling different stories. Because means are given for individuals with a particular variance, I pooled across individuals and give N as number of INDIVIDUALS not nubmer of blades",1,0,,,
196,"Moccia, Maria Domenica; Widmer, Alex; Cozzolino, Salvatore",The strength of reproductive isolation in two hybridizing food-deceptive orchid species,MOLECULAR ECOLOGY,2007,Moccia_2007,KT,yes,yes,no,no,wild,NA,All hybrids F1 according to the molecular markers,Author data,Was in italian so I had to do some translation/,1,0,No,P,Used only hybrids
197,"Hermann, K; Klahre, U; Venail, J; Brandenburg, A; Kuhlemeier, C",The genetics of reproductive organ morphology in two Petunia species with contrasting pollination syndromes,PLANTA,2015,Hermann_2015,KT,yes,yes,yes,no,cross,0,,Table 1,Sample size given for F2s but not explicitly for anything else. Authors speculate data are in Bern but are reluctant to obtain for me. 'At least three' parent plants measured. Also at least two F1s.,,,,,
197,"Fishman, L; Beardsley, PM; Stathos, A; Williams, CF; Hill, JP",The genetic architecture of traits associated with the evolution of self-pollination in Mimulus,NEW PHYTOLOGIST,2015,Fishman_2015,KT,yes,yes,yes,no,cross,7,other line 3 gens,,,,,No,,
197,"Wessinger, CA; Hileman, LC; Rausher, MD",Identification of major quantitative trait loci underlying floral pollination syndrome divergence in Penstemon,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2014,Wessinger_2014,KT,yes,yes,,,cross,0,,Table 1 (P and F1) author data (F2),Author data did not contain height of tube,,,,,
197,"Chen, C; Ritland, K",Lineage-specific mapping of quantitative trait loci,HEREDITY,2013,Chen_2013b,KT,yes,yes,yes,no,cross,1,From Ritland & Ritland 1989; who collected plants from field,Author data,,,,no,,
197,"Galliot, C; Hoballah, ME; Kuhlemeier, C; Stuurman, J",Genetics of flower size and nectar volume in Petunia pollination syndromes,PLANTA,2006,Galliot_2006,KT,yes,,,,cross,0,wild accessions,Fig3D,No SD reported,,,,,